HU_ID;Versao;Num_Palavras;Num_Criterios_Aceite;Num_Regras_Negocio;Estrutura_Tecnica (0/1);Clareza_Score (0-10)
HU_0001;Original;54;1;2;0;4.67
HU_0001;Pos_Automatizacao;87;3;5;1;8.85
HU_0002;Original;109;1;3;0;4.09
HU_0002;Pos_Automatizacao;125;4;6;1;8.51
HU_0003;Original;111;2;3;0;5.35
HU_0003;Pos_Automatizacao;129;4;4;1;8.75
HU_0004;Original;83;3;1;0;6.87
HU_0004;Pos_Automatizacao;103;5;2;1;7.95
HU_0005;Original;85;3;2;0;6.19
HU_0005;Pos_Automatizacao;112;5;4;1;7.2
HU_0006;Original;77;3;1;1;4.21
HU_0006;Pos_Automatizacao;108;6;3;1;9.46
HU_0007;Original;69;1;3;0;5.36
HU_0007;Pos_Automatizacao;105;5;4;1;7.93
HU_0008;Original;66;3;0;1;5.9
HU_0008;Pos_Automatizacao;93;6;1;1;8.16
HU_0009;Original;74;2;2;0;4.69
HU_0009;Pos_Automatizacao;85;6;4;1;7.67
HU_0010;Original;67;3;1;1;5.5
HU_0010;Pos_Automatizacao;105;8;2;1;7.66
HU_0011;Original;71;3;3;1;5.2
HU_0011;Pos_Automatizacao;88;6;6;1;8.23
HU_0012;Original;46;1;1;1;4.48
HU_0012;Pos_Automatizacao;77;6;4;1;7.16
HU_0013;Original;88;4;2;1;6.58
HU_0013;Pos_Automatizacao;98;6;5;1;9.21
HU_0014;Original;74;3;0;0;5.3
HU_0014;Pos_Automatizacao;98;5;3;1;9.19
HU_0015;Original;73;2;0;1;4.9
HU_0015;Pos_Automatizacao;103;5;1;1;7.93
HU_0016;Original;60;1;2;0;4.06
HU_0016;Pos_Automatizacao;99;5;4;1;7.6
HU_0017;Original;70;1;0;1;5.46
HU_0017;Pos_Automatizacao;82;4;1;1;8.65
HU_0018;Original;110;2;2;1;6.62
HU_0018;Pos_Automatizacao;133;5;5;1;8.89
HU_0019;Original;65;3;3;1;5.95
HU_0019;Pos_Automatizacao;89;8;4;1;7.62
HU_0020;Original;48;3;0;1;5.66
HU_0020;Pos_Automatizacao;76;6;1;1;7.18
HU_0021;Original;120;1;1;0;6.72
HU_0021;Pos_Automatizacao;157;5;2;1;8.29
HU_0022;Original;75;4;1;1;4.4
HU_0022;Pos_Automatizacao;114;9;2;1;8.96
HU_0023;Original;92;2;0;0;5.98
HU_0023;Pos_Automatizacao;113;7;2;1;8.17
HU_0024;Original;46;1;0;0;6.18
HU_0024;Pos_Automatizacao;81;3;1;1;7.48
HU_0025;Original;108;4;1;0;4.55
HU_0025;Pos_Automatizacao;132;7;2;1;8.11
HU_0026;Original;110;1;0;1;7.0
HU_0026;Pos_Automatizacao;146;3;1;1;9.32
