hu_id;num_palavras;num_criterios_aceite;num_regras_negocio;estrutura_tecnica_0/1;clareza_score_0_10;score_qualidade;nivel_qualidade;flag_baixa_qualidade;completude;tem_criterios;tem_regras;tem_tecnico
hu_0001;54;1;2;0;4.67;2.5566666666666666;Baixa;True;5;True;True;False
hu_0002;109;1;3;0;4.09;2.6966666666666668;Baixa;True;5;True;True;False
hu_0003;111;2;3;0;5.35;3.4499999999999997;Baixa;True;5;True;True;False
hu_0004;83;3;1;0;6.87;3.6233333333333335;Baixa;True;5;True;True;False
hu_0005;85;3;2;0;6.19;3.7300000000000004;Baixa;True;5;True;True;False
hu_0006;77;3;1;1;4.21;2.736666666666667;Baixa;True;5;True;True;True
hu_0007;69;1;3;0;5.36;3.1199999999999997;Baixa;True;5;True;True;False
hu_0008;66;3;0;1;5.9;2.966666666666667;Baixa;True;5;True;False;True
hu_0009;74;2;2;0;4.69;2.896666666666667;Baixa;True;5;True;True;False
hu_0010;67;3;1;1;5.5;3.1666666666666665;Baixa;True;5;True;True;True
hu_0011;71;3;3;1;5.2;3.733333333333333;Baixa;True;5;True;True;True
hu_0012;46;1;1;1;4.48;2.16;Baixa;True;5;True;True;True
hu_0013;88;4;2;1;6.58;4.193333333333333;Média;False;5;True;True;True
hu_0014;74;3;0;0;5.3;2.766666666666667;Baixa;True;5;True;False;False
hu_0015;73;2;0;1;4.9;2.3000000000000003;Baixa;True;5;True;False;True
hu_0016;60;1;2;0;4.06;2.353333333333333;Baixa;True;5;True;True;False
hu_0017;70;1;0;1;5.46;2.1533333333333333;Baixa;True;5;True;False;True
hu_0018;110;2;2;1;6.62;3.5400000000000005;Baixa;True;5;True;True;True
hu_0019;65;3;3;1;5.95;3.983333333333333;Baixa;True;5;True;True;True
hu_0020;48;3;0;1;5.66;2.8866666666666667;Baixa;True;5;True;False;True
hu_0021;120;1;1;0;6.72;2.9066666666666663;Baixa;True;5;True;True;False
hu_0022;75;4;1;1;4.4;3.1333333333333333;Baixa;True;5;True;True;True
hu_0023;92;2;0;0;5.98;2.66;Baixa;True;5;True;False;False
hu_0024;46;1;0;0;6.18;2.393333333333333;Baixa;True;5;True;False;False
hu_0025;108;4;1;0;4.55;3.1833333333333336;Baixa;True;5;True;True;False
hu_0026;110;1;0;1;7.0;2.6666666666666665;Baixa;True;5;True;False;True
hu_0027;70;2;3;0;5.44;3.4800000000000004;Baixa;True;5;True;True;False
hu_0028;40;4;2;0;4.86;3.6199999999999997;Baixa;True;5;True;True;False
hu_0029;67;1;0;1;4.94;1.9800000000000002;Baixa;True;5;True;False;True
hu_0030;107;2;0;1;4.24;2.08;Baixa;True;5;True;False;True
hu_0031;70;4;0;1;4.74;2.9133333333333336;Baixa;True;5;True;False;True
hu_0032;114;3;2;0;6.01;3.67;Baixa;True;5;True;True;False
hu_0033;78;4;2;0;4.03;3.3433333333333337;Baixa;True;5;True;True;False
hu_0034;104;3;1;0;6.64;3.546666666666667;Baixa;True;5;True;True;False
hu_0035;96;3;0;1;6.45;3.15;Baixa;True;5;True;False;True
hu_0036;53;2;2;0;5.81;3.2699999999999996;Baixa;True;5;True;True;False
hu_0037;73;4;2;0;4.28;3.426666666666667;Baixa;True;5;True;True;False
hu_0038;56;3;1;1;5.33;3.11;Baixa;True;5;True;True;True
hu_0039;49;2;0;0;5.75;2.5833333333333335;Baixa;True;5;True;False;False
hu_0040;86;1;2;0;6.05;3.016666666666667;Baixa;True;5;True;True;False
hu_0041;92;2;1;0;6.93;3.31;Baixa;True;5;True;True;False
hu_0042;82;4;1;0;4.48;3.16;Baixa;True;5;True;True;False
hu_0043;100;2;1;0;5.05;2.6833333333333336;Baixa;True;5;True;True;False
hu_0044;64;4;2;0;6.59;4.196666666666666;Média;False;5;True;True;False
hu_0045;91;3;0;0;6.63;3.2099999999999995;Baixa;True;5;True;False;False
hu_0046;73;1;0;1;5.3;2.1;Baixa;True;5;True;False;True
hu_0047;105;1;3;1;4.57;2.856666666666667;Baixa;True;5;True;True;True
hu_0048;108;2;2;0;4.21;2.736666666666667;Baixa;True;5;True;True;False
hu_0049;55;3;2;1;5.23;3.41;Baixa;True;5;True;True;True
hu_0050;93;4;1;1;5.71;3.5700000000000003;Baixa;True;5;True;True;True
hu_0051;95;3;3;0;5.33;3.776666666666667;Baixa;True;5;True;True;False
hu_0052;50;3;2;0;6.46;3.8200000000000003;Baixa;True;5;True;True;False
hu_0053;65;2;0;0;4.73;2.2433333333333336;Baixa;True;5;True;False;False
hu_0054;120;2;3;0;5.2;3.4;Baixa;True;5;True;True;False
hu_0055;68;2;3;0;5.67;3.5566666666666666;Baixa;True;5;True;True;False
hu_0056;99;3;3;1;6.45;4.1499999999999995;Média;False;5;True;True;True
hu_0057;60;4;3;0;6.26;4.42;Média;False;5;True;True;False
